EPISODES,DQN_runs,DQN_correct,PPO_runs,PPO_correct
1146,18,12,18,14
1147,19,12,20,14
1148,12,10,12,10
1149,15,5,15,11
1150,13,6,15,13
1151,12,7,12,10
1152,15,9,15,12
1153,18,9,17,13
1154,15,10,15,9
1155,20,14,20,12
1156,21,10,21,16
1157,14,8,15,8
1158,15,13,15,11
1159,18,11,18,13
1160,18,14,17,9
1161,19,12,19,12
1162,15,11,15,10
1163,14,8,13,9
1164,18,9,18,11
1165,14,9,14,10
1166,17,9,17,11
1167,18,10,17,11
1168,14,9,15,8
1169,18,12,18,13
1170,19,10,21,14
1171,19,10,19,13
1172,18,9,17,13
1173,20,15,20,15
1174,15,9,15,12
1175,20,12,20,14
1176,16,13,17,11
1177,21,13,20,18
1178,21,9,18,15
1179,16,9,16,13
1180,20,10,21,15
1181,18,10,17,16
1182,15,9,15,12
1183,18,11,18,13
1184,17,10,18,15
1185,15,8,15,11
1186,18,11,18,14
1187,13,8,14,11
1188,14,9,14,10
1189,17,10,17,14
1190,11,8,9,6
1191,15,11,15,11
1192,18,11,18,13
1193,15,7,15,10
1194,16,10,17,14
1195,14,9,15,10
1196,15,8,15,10
1197,18,10,17,12
1198,16,10,16,12
1199,17,8,18,15
1200,24,13,22,15
1201,17,9,18,14
1202,12,6,12,9
1203,14,9,15,10
1204,20,15,19,12
1205,18,13,18,14
1206,14,8,15,12
1207,20,13,20,12
1208,15,7,15,12
1209,10,6,12,10
1210,15,10,15,12
1211,17,7,17,11
1212,15,9,14,9
1213,15,10,14,8
1214,18,12,17,13
1215,12,4,12,9
1216,21,13,21,16
1217,15,9,16,10
1218,18,9,18,17
1219,17,11,17,13
1220,15,8,15,11
1221,21,13,21,16
1222,21,11,21,16
1223,17,9,18,15
1224,18,12,18,13
1225,18,11,18,14
1226,21,12,20,14
1227,15,11,15,13
1228,12,10,11,8
1229,18,14,18,11
1230,18,10,17,13
1231,14,10,15,10
1232,17,13,17,12
1233,14,9,14,10
1234,18,14,18,14
1235,16,8,18,11
1236,19,11,19,16
1237,21,11,20,13
1238,15,7,13,11
1239,12,8,12,8
1240,20,10,19,13
1241,21,15,19,14
1242,17,12,17,12
1243,21,12,19,14
1244,18,12,17,9
1245,17,10,18,14
1246,21,16,21,14
1247,18,11,17,13
1248,18,7,16,11
1249,17,10,18,14
1250,15,7,17,13
1251,12,7,13,8
1252,16,9,15,9
1253,21,14,21,14
1254,14,7,15,13
1255,18,9,18,15
1256,12,6,12,9
1257,18,10,18,14
1258,20,12,19,15
1259,19,8,20,12
1260,16,13,16,12
1261,12,7,10,6
1262,14,9,13,9
1263,19,12,19,13
1264,14,7,13,10
1265,17,12,18,10
1266,14,10,13,9
1267,11,6,12,9
1268,15,8,14,10
1269,16,12,15,11
1270,20,11,20,13
1271,17,11,18,12
1272,14,8,14,12
1273,14,8,15,13
1274,15,9,15,12
1275,14,4,15,13
1276,15,7,15,9
1277,24,18,24,16
1278,15,7,14,11
1279,18,8,18,13
1280,20,10,21,17
1281,21,15,21,14
1282,15,11,15,12
1283,18,9,18,13
1284,15,11,15,10
1285,17,9,18,13
1286,18,11,18,15
1287,16,8,17,12
1288,18,7,18,13
1289,12,7,12,10
1290,18,11,18,12
1291,19,11,17,11
1292,12,7,12,7
1293,13,6,15,9
1294,19,11,17,12
1295,15,13,18,9
1296,9,8,10,7
1297,13,9,14,10
1298,12,7,12,9
1299,13,9,14,11
1300,15,10,15,11
1301,12,10,12,9
1302,12,9,12,9
1303,12,6,12,11
1304,9,4,9,5
1305,9,6,8,7
1306,9,7,9,8
1307,15,12,15,12
1308,12,8,12,9
1309,17,11,16,13
1310,11,8,11,8
1311,15,10,15,12
1312,11,10,10,8
1313,9,7,8,7
1314,12,7,11,10
1315,12,11,11,8
1316,10,9,9,6
1317,13,9,13,10
