EPISODES,DQN,PPO
157,0.3333333333333333,0.47058823529411764
158,0.5333333333333333,0.7333333333333333
159,0.5294117647058824,0.5882352941176471
160,0.4666666666666667,0.5714285714285714
161,0.4666666666666667,0.4
162,0.5238095238095238,0.7142857142857143
163,0.5333333333333333,0.5
164,0.5,0.35
165,0.7333333333333333,0.4
166,0.7333333333333333,0.42857142857142855
167,0.6111111111111112,0.5
168,0.42105263157894735,0.2222222222222222
169,0.5652173913043478,0.4090909090909091
170,0.5,0.5454545454545454
171,0.5,0.2727272727272727
172,0.4375,0.4666666666666667
173,0.3076923076923077,0.14285714285714285
174,0.6666666666666666,0.36363636363636365
175,0.6428571428571429,0.07692307692307693
176,0.4117647058823529,0.4117647058823529
177,0.5555555555555556,0.3333333333333333
178,0.6666666666666666,0.6
179,0.3333333333333333,0.47619047619047616
180,0.55,0.35
181,0.5454545454545454,0.5833333333333334
182,0.7333333333333333,0.5714285714285714
183,0.5,0.4
184,0.38461538461538464,0.5833333333333334
185,0.4444444444444444,0.5294117647058824
186,0.5882352941176471,0.6470588235294118
187,0.6428571428571429,0.7142857142857143
188,0.4166666666666667,0.5
189,0.4,0.65
190,0.3888888888888889,0.4444444444444444
191,0.3888888888888889,0.3888888888888889
192,0.45,0.5789473684210527
193,0.5714285714285714,0.5
194,0.47058823529411764,0.4444444444444444
195,0.2,0.5333333333333333
196,0.4666666666666667,0.3333333333333333
197,0.46153846153846156,0.4666666666666667
198,0.42857142857142855,0.3333333333333333
199,0.4666666666666667,0.5
200,0.4444444444444444,0.17647058823529413
201,0.5,0.5714285714285714
202,0.5294117647058824,0.42105263157894735
203,0.5333333333333333,0.5714285714285714
204,0.5714285714285714,0.38095238095238093
205,0.2,0.6428571428571429
206,0.5,0.5
207,0.7058823529411765,0.23529411764705882
208,0.4666666666666667,0.5
209,0.5333333333333333,0.5
210,0.5,0.3125
211,0.47058823529411764,0.5555555555555556
212,0.4,0.6
213,0.4666666666666667,0.5294117647058824
214,0.47368421052631576,0.6
215,0.46153846153846156,0.6666666666666666
216,0.7333333333333333,0.2857142857142857
217,0.4117647058823529,0.4375
218,0.4,0.5238095238095238
219,0.7777777777777778,0.5555555555555556
220,0.6,0.5333333333333333
221,0.5,0.4444444444444444
222,0.47058823529411764,0.6875
223,0.42857142857142855,0.42857142857142855
224,0.3181818181818182,0.4782608695652174
225,0.5555555555555556,0.47368421052631576
226,0.4117647058823529,0.47058823529411764
227,0.5238095238095238,0.4
228,0.7058823529411765,0.3125
229,0.65,0.5789473684210527
230,0.5652173913043478,0.4583333333333333
231,0.29411764705882354,0.5555555555555556
232,0.375,0.391304347826087
233,0.47619047619047616,0.6666666666666666
234,0.5,0.6666666666666666
235,0.5,0.5
236,0.2777777777777778,0.6111111111111112
237,0.5333333333333333,0.5
238,0.75,0.6470588235294118
239,0.5555555555555556,0.6470588235294118
240,0.5333333333333333,0.5555555555555556
241,0.4444444444444444,0.6111111111111112
242,0.4666666666666667,0.6666666666666666
243,0.5294117647058824,0.5294117647058824
244,0.3076923076923077,0.7857142857142857
245,0.5294117647058824,0.7222222222222222
246,0.3333333333333333,0.5333333333333333
247,0.3888888888888889,0.2777777777777778
248,0.4,0.8095238095238095
249,0.5263157894736842,0.6842105263157895
250,0.3684210526315789,0.2222222222222222
251,0.2777777777777778,0.5555555555555556
252,0.4666666666666667,0.7333333333333333
253,0.46153846153846156,0.6666666666666666
254,0.5416666666666666,0.6818181818181818
255,0.4444444444444444,0.7222222222222222
256,0.6,0.5333333333333333
257,0.35,0.5789473684210527
258,0.4,0.5
259,0.6086956521739131,0.42857142857142855
260,0.6,0.47058823529411764
261,0.4,0.6666666666666666
262,0.6,0.4666666666666667
263,0.5294117647058824,0.5294117647058824
264,0.5833333333333334,0.5
265,0.5,0.5833333333333334
266,0.3333333333333333,0.4
267,0.5833333333333334,0.4166666666666667
268,0.4,0.5333333333333333
269,0.5833333333333334,0.36363636363636365
270,0.5294117647058824,0.7647058823529411
271,0.5,0.4117647058823529
272,0.75,0.5882352941176471
273,0.5294117647058824,0.4117647058823529
274,0.5238095238095238,0.5
275,0.21428571428571427,0.5333333333333333
276,0.5714285714285714,0.46153846153846156
277,0.6666666666666666,0.6428571428571429
278,0.4,0.4375
279,0.4,0.5333333333333333
280,0.5294117647058824,0.65
281,0.5416666666666666,0.6956521739130435
282,0.5,0.6666666666666666
283,0.3333333333333333,0.5454545454545454
284,0.6,0.4666666666666667
285,0.4666666666666667,0.5714285714285714
286,0.5294117647058824,0.3333333333333333
287,0.5,0.65
288,0.4666666666666667,0.6666666666666666
289,0.4,0.5714285714285714
290,0.4117647058823529,0.5294117647058824
291,0.6923076923076923,0.5
292,0.5454545454545454,0.45454545454545453
293,0.6666666666666666,0.5882352941176471
294,0.5714285714285714,0.7333333333333333
295,0.7058823529411765,0.7222222222222222
296,0.6666666666666666,0.7058823529411765
297,0.38461538461538464,0.5384615384615384
298,0.5555555555555556,0.4444444444444444
299,0.5555555555555556,0.6111111111111112
300,0.6666666666666666,0.4666666666666667
301,0.6111111111111112,0.3888888888888889
302,0.6,0.5238095238095238
303,0.13333333333333333,0.2857142857142857
304,0.35714285714285715,0.4
305,0.38461538461538464,0.5714285714285714
